Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Alphabet inc. class c,GOOG,"",2356998.0,3463846000.0,0.658371,0.7176,26,63728.0,2.778914,addition,0.3465340,Q2 2014,COMMUNICATIONS,13F,09/30/2020,802.2939,1738.85
Ishares core msci eafe etf,IEFA,"",56858498.0,3427431000.0,0.65145,0.7096,27,774302.0,1.380606,addition,No Data,Q4 2012,FINANCE,13F,09/30/2020,53.4838,68.59
Johnson & johnson co.,JNJ,"",22472765.0,3345745000.0,0.635924,0.6705,28,933976.0,4.336251,addition,0.8535614,Q1 2001,HEALTH CARE,13F,09/30/2020,100.9101,152.47
Thermo fisher scientific  inc.,TMO,"",7397608.0,3266190000.0,0.620803,0.6146,29,-265702.0,-3.467196,reduction,1.8700218,Q1 2001,HEALTH CARE,13F,09/30/2020,197.01,458.09
Ishares russell 1000 value etf,IWD,"",27489711.0,3247359000.0,0.617224,0.6771,30,327312.0,1.205019,addition,No Data,Q4 2003,FINANCE,13F,09/30/2020,97.6369,135.08
Salesforce.com inc.,CRM,"",12206616.0,3067766000.0,0.583089,0.4597,31,1118889.0,10.091239,addition,1.3413864,Q3 2004,INFORMATION TECHNOLOGY,13F,09/30/2020,99.0645,225.78
Adobe systems  inc.,ADBE,"",6204962.0,3043100000.0,0.5784,0.4971,32,1045762.0,20.269848,addition,1.2934577,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,265.8683,499.86
Twilio inc,TWLO,"",11661814.0,2881518000.0,0.547689,0.5423,33,495130.0,4.433993,addition,8.1474618,Q2 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,107.4133,362.88
Danaher corp.,DHR,"",12947840.0,2788059000.0,0.529925,0.4934,34,342000.0,2.713028,addition,1.8251591,Q4 2019,HEALTH CARE,13F,09/30/2020,177.8469,221.49
Ishares core s&p 500 etf,IVV,"",8269628.0,2779090000.0,0.52822,0.564,35,42363.0,0.51491,addition,No Data,Q1 2001,FINANCE,13F,09/30/2020,229.9066,370.31
Home depot  inc. (the),HD,"",9970350.0,2768863000.0,0.526276,0.5268,36,470651.0,4.954378,addition,0.9262203,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,138.3733,270.92
Abbott laboratories,ABT,"",25371069.0,2761133000.0,0.524807,0.5019,37,568480.0,2.292019,addition,1.4329646,Q1 2001,HEALTH CARE,13F,09/30/2020,59.1292,108.35
Okta inc,OKTA,"",12838519.0,2745517000.0,0.521839,0.5212,38,1079479.0,9.179993,addition,10.0231783,Q2 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,115.7185,275.6
Twitter inc,TWTR,"",60012012.0,2670534000.0,0.507587,0.3276,39,10331277.0,20.795338,addition,7.5873433,Q4 2013,COMMUNICATIONS,13F,09/30/2020,37.4964,53.97
Accenture plc,ACN,"",11414324.0,2579523000.0,0.490289,0.5694,40,-566847.0,-4.731149,reduction,1.7949873,Q3 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,106.52,257.3
Spdr gold trust,GLD,"",14213487.0,2517492000.0,0.478498,0.4544,41,1947011.0,15.872619,addition,No Data,Q4 2004,MATERIALS,13F,09/30/2020,146.8626,176.35
Berkshire hathaway inc class b,BRK.B,"",11444438.0,2436977000.0,0.463195,0.4304,42,552369.0,5.071295,addition,0.4792047,Q1 2001,FINANCE,13F,09/30/2020,151.791,226.53
Vanguard growth index fund-etf shares,VUG,"",10544074.0,2399936000.0,0.456155,0.483,43,-253334.0,-2.346248,reduction,No Data,Q2 2006,FINANCE,13F,09/30/2020,107.54,251.25
Ishares core msci emerging markets etf,IEMG,"",43923460.0,2319159000.0,0.440801,0.4602,44,244065.0,0.558765,addition,No Data,Q4 2012,FINANCE,13F,09/30/2020,45.0433,60.32
Vanguard short-term bond etf,BSV,"",27864163.0,2314118000.0,0.439843,0.4493,45,3444452.0,14.105212,addition,No Data,Q2 2007,FINANCE,13F,09/30/2020,81.5864,82.86
Coca cola co.,KO,"",45242925.0,2233644000.0,0.424548,0.4335,46,1413048.0,3.223938,addition,1.0532783,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,42.9664,53.44
Unitedhealth group inc.,UNH,"",7003292.0,2183416000.0,0.415001,0.4359,47,325936.0,4.881213,addition,0.7369282,Q1 2001,HEALTH CARE,13F,09/30/2020,172.9081,340.79
Amgen  inc.,AMGN,"",8565891.0,2177107000.0,0.413802,0.4179,48,561293.0,7.012132,addition,1.4625204,Q1 2001,HEALTH CARE,13F,09/30/2020,151.6669,222.93
Pimco enhanced short maturity etf,MINT,"",21327866.0,2174589000.0,0.413323,0.4463,49,1497872.0,7.553568,addition,No Data,Q4 2009,FINANCE,13F,09/30/2020,100.6025,102.05
Verizon communications (bell atlantic corp.),VZ,"",36293170.0,2159080000.0,0.410375,0.4542,50,-928637.0,-2.494874,reduction,0.8770589,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,48.46,58.84
At&t inc. (southwestern bell - sbc corp.),T,"",75022082.0,2138879000.0,0.406536,0.4911,51,1628117.0,2.218325,addition,1.0529415,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,34.4874,28.69
Ishares russell 2000 etf,IWM,"",14033274.0,2102044000.0,0.399534,0.6492,52,-6452273.0,-31.496708,reduction,No Data,Q1 2001,FINANCE,13F,09/30/2020,130.12,199.01
Coupa software inc,COUP,"",7662613.0,2101394000.0,0.399411,0.5202,53,-821127.0,-9.678833,reduction,11.1297252,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,90.54,356.74
Vanguard total bond market index fund etf,BND,"",23446921.0,2068488000.0,0.393156,0.4321,54,1348367.0,6.101607,addition,No Data,Q2 2007,FINANCE,13F,09/30/2020,84.2804,88.01
Nextera energy inc.,NEE,"",29074904.0,2017506000.0,0.383466,0.3932,55,-514056.0,-1.737324,reduction,1.4844806,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,32.85,74.98
Vanguard 500 index fund-etf shares,VOO,"",6401743.0,1969497000.0,0.374341,0.353,56,775040.0,13.774319,addition,No Data,Q4 2010,FINANCE,13F,09/30/2020,243.5758,339.16
Nvidia corp.,NVDA,"",3619180.0,1958773000.0,0.372303,0.317,57,-150687.0,-3.997144,reduction,0.5858991,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,217.73,519.75
Vanguard value index fund-etf shares,VTV,"",18598691.0,1943749000.0,0.369447,0.3975,58,565638.0,3.136674,addition,No Data,Q3 2006,FINANCE,13F,09/30/2020,83.1888,117.3
Carvana co,CVNA,"",8692012.0,1938839000.0,0.368514,0.2276,59,136277.0,1.592815,addition,5.0939253,Q2 2017,CONSUMER DISCRETIONARY,13F,09/30/2020,73.8172,274.71
Baxter international inc.,BAX,"",23824224.0,1915945000.0,0.364163,0.3723,60,4287182.0,21.943864,addition,4.7061894,Q1 2001,HEALTH CARE,13F,09/30/2020,74.9257,79.59
Automatic data processing inc,ADP,"",13551926.0,1890357000.0,0.359299,0.3805,61,2004886.0,17.36277,addition,3.1527393,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,113.9538,176.56
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",11348328.0,1868049000.0,0.355059,0.3278,62,1104581.0,10.782978,addition,1.6170704,Q1 2001,INDUSTRIALS,13F,09/30/2020,87.3328,209.53
Nike inc.,NKE,"",14852545.0,1864591000.0,0.354402,0.3367,63,-663526.0,-4.276379,reduction,0.9521542,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,56.59,141.6
Walmart inc,WMT,"",12908458.0,1806021000.0,0.343269,0.2716,64,2662599.0,25.987074,addition,0.4555252,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,91.1828,143.5
Mcdonalds corp.,MCD,"",8226988.0,1805743000.0,0.343217,0.3464,65,-256535.0,-3.023921,reduction,1.1056256,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,129.78,211.39
Costco co.,COST,"",5049567.0,1792598000.0,0.340718,0.2801,66,876624.0,21.007332,addition,1.1443648,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,216.8018,364.58
The trade desk inc class a,TTD,"",3444492.0,1786933000.0,0.339641,0.2698,67,445756.0,14.864796,addition,7.3682994,Q3 2016,COMMUNICATIONS,13F,09/30/2020,276.321,931.77
Ishares s&p 500 growth etf,IVW,"",30703572.0,1773745000.0,0.337135,0.3709,68,-1596308.0,-4.942148,reduction,No Data,Q2 2001,FINANCE,13F,09/30/2020,22.05,63.03
Slack technologies inc,WORK,"",65857099.0,1768921000.0,0.336218,0.4476,69,808565.0,1.243018,addition,11.5432531,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,29.7145,42.65
Becton  dickinson and co.,BDX,"",7584726.0,1764816000.0,0.335438,0.3814,70,382899.0,5.316693,addition,2.6166088,Q4 2019,HEALTH CARE,13F,09/30/2020,264.071,247.99
Dexcom inc,DXCM,"",4119756.0,1698287000.0,0.322793,0.327,71,475228.0,13.039494,addition,4.3029674,Q4 2005,HEALTH CARE,13F,09/30/2020,147.6588,355.02
Snowflake  inc.,SNOW,"",5195909.0,1693034988.56,0.321794,0.0684,72,3786550.0,268.671786,addition,1.8778483,,INFORMATION TECHNOLOGY,13G,11/30/2020,,323.04
Pfizer  inc.,PFE,"",48557638.76,1690763000.0,0.321362,0.3133,73,2927670.5,6.416113,addition,0.8290600,Q1 2001,HEALTH CARE,13F,09/30/2020,30.4409,37.27
Epam systems  inc.,EPAM,"",5209181.0,1684024000.0,0.320082,0.2826,74,143058.0,2.823816,addition,9.3266587,Q1 2012,INFORMATION TECHNOLOGY,13F,09/30/2020,102.5432,356.34
Vanguard total stock market index fund-etf shares,VTI,"",9882017.0,1683006000.0,0.319888,0.337,75,155727.0,1.601094,addition,No Data,Q2 2004,FINANCE,13F,09/30/2020,117.0429,192.82
Paypal holdings inc,PYPL,"",8452468.0,1665388000.0,0.316539,0.2936,76,839901.0,11.033085,addition,0.7204014,Q3 2015,COMMUNICATIONS,13F,09/30/2020,78.9661,238.64
Farfetch ltd,FTCH,"",30473173.0,1665358904.45,0.316534,,77,6070448.0,24.876107,addition,8.9659717,,CONSUMER DISCRETIONARY,13G,11/30/2020,,64.0
Comcast corp.  class a,CMCSA,"",35445826.0,1639724000.0,0.311661,0.277,78,3343311.0,10.414483,addition,0.7759423,Q4 2002,COMMUNICATIONS,13F,09/30/2020,30.7095,50.38
Pepsico inc. (loft  inc.),PEP,"",11805248.0,1636208000.0,0.310993,0.3245,79,720076.0,6.495849,addition,0.8525905,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,89.4807,145.06
Merck & co,MRK,"",19347857.0,1604905000.0,0.305043,0.32,80,653675.0,3.496676,addition,0.7649669,Q1 2001,HEALTH CARE,13F,09/30/2020,61.9058,80.14
Ishares iboxx $ high yield corp bond etf,HYG,"",18603563.0,1560840000.0,0.296668,0.3283,81,429040.0,2.360667,addition,No Data,Q3 2007,FINANCE,13F,09/30/2020,84.0758,87.05
Vanguard ftse developed markets etf,VEA,"",37462168.0,1532203000.0,0.291225,0.3269,82,-612873.0,-1.609645,reduction,No Data,Q3 2007,FINANCE,13F,09/30/2020,37.06,46.77
Bank of america corp. (north carolina national bank),BAC,"",63152966.0,1521354000.0,0.289163,0.2701,83,11775520.0,22.919629,addition,0.7289041,Q1 2001,FINANCE,13F,09/30/2020,21.7063,29.96
Netflix inc,NFLX,"",3008483.0,1504333000.0,0.285928,0.2888,84,140674.0,4.905278,addition,0.6821718,Q2 2002,COMMUNICATIONS,13F,09/30/2020,281.8046,513.97
Intel corp.,INTC,"",28764845.0,1489443000.0,0.283098,0.3623,85,1404805.0,5.134514,addition,0.6763425,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,36.9799,47.07
Zoetis  inc.,ZTS,"",8868068.0,1466514000.0,0.27874,0.3324,86,-2088753.0,-19.063495,reduction,1.8663931,Q1 2013,HEALTH CARE,13F,09/30/2020,62.29,160.72
Cisco systems  inc.,CSCO,"",36724880.0,1446593000.0,0.274953,0.3679,87,1089231.0,3.056577,addition,0.8674980,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,32.258,44.54
Cvs health corp. (melville shoe),CVS,"",24687270.0,1441737000.0,0.27403,0.3316,88,1627516.0,7.05782,addition,1.8863915,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,64.8825,67.97
Ishares msci emerging index fund,EEM,"",31855127.0,1404492000.0,0.266951,0.3467,89,-7317736.0,-18.680626,reduction,No Data,Q2 2003,FINANCE,13F,09/30/2020,43.84,50.13
Wayfair inc class a,W,"",4698212.0,1367227000.0,0.259868,0.2011,90,100913.0,2.19505,addition,4.9252137,Q4 2014,CONSUMER DISCRETIONARY,13F,09/30/2020,105.0127,252.82
Chevron corp. (standard oil of california),CVX,"",17964666.0,1293455000.0,0.245846,0.3483,91,328678.0,1.863678,addition,0.9620724,Q1 2001,ENERGY,13F,09/30/2020,99.3797,85.33
Spdr s&p biotech etf,XBI,"",11485411.0,1279819000.0,0.243255,0.1869,92,3942285.0,52.263279,addition,No Data,Q2 2006,HEALTH CARE,13F,09/30/2020,90.289,150.01
Bristol-myers squibb co,BMY,"",21162568.0,1275891000.0,0.242508,0.2529,93,1729408.0,8.899263,addition,0.9389167,Q1 2001,HEALTH CARE,13F,09/30/2020,55.5241,61.15
Blackrock inc. class a,BLK,"",2255694.0,1271195000.0,0.241615,0.2773,94,-46688.0,-2.027813,reduction,1.4793031,Q1 2001,FINANCE,13F,09/30/2020,329.28,707.18
Ishares iboxx investment grade corporate bond fund,LQD,"",9375800.0,1263015000.0,0.240061,0.2277,95,1728321.0,22.599879,addition,No Data,Q3 2002,FINANCE,13F,09/30/2020,123.0542,137.77
Vanguard ftse emerging markets etf,VWO,"",28856809.0,1247770000.0,0.237163,0.2734,96,-2321236.0,-7.445098,reduction,No Data,Q1 2005,FINANCE,13F,09/30/2020,40.0,48.92
Vanguard dividend appreciation etf,VIG,"",9596203.0,1234648000.0,0.234669,0.2427,97,239785.0,2.562786,addition,No Data,Q2 2007,FINANCE,13F,09/30/2020,76.4773,139.23
Vanguard short-term corporate bond etf,VCSH,"",14882409.0,1233007000.0,0.234357,0.2469,98,1388225.0,10.28758,addition,No Data,Q4 2009,FINANCE,13F,09/30/2020,80.4472,83.12
Ishares msci eafe index fund,EFA,"",19147202.0,1218719000.0,0.231641,0.2538,99,310915.0,1.650617,addition,No Data,Q3 2001,FINANCE,13F,09/30/2020,65.952,72.36
10x genomics inc,TXG,"",9706543.0,1210211000.0,0.230024,0.1625,100,1485146.0,18.0644,addition,9.3011175,Q3 2019,HEALTH CARE,13F,09/30/2020,81.0343,151.33
Raytheon technologies corp. (united technologies),RTX,"",20959745.0,1206025000.0,0.229229,0.2611,101,1819900.0,9.508436,addition,1.3720206,Q1 2001,INDUSTRIALS,13F,09/30/2020,50.4081,70.27
Abbvie inc,ABBV,"",13731455.0,1202737000.0,0.228604,0.2702,102,1296673.0,10.42779,addition,0.7780596,Q4 2012,HEALTH CARE,13F,09/30/2020,,103.26
Crown castle international corp,CCI,"",7221240.0,1202335000.0,0.228527,0.2833,103,-425646.0,-5.566266,reduction,1.7207019,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,102.26,154.0
Lockheed martin corp.,LMT,"",3110828.0,1192319000.0,0.226623,0.2311,104,249683.0,8.726681,addition,1.1128301,Q1 2001,INDUSTRIALS,13F,09/30/2020,247.8027,351.97
Ishares core u.s. aggregate bond etf,AGG,"",10017806.0,1182701000.0,0.224795,0.2432,105,724741.0,7.798729,addition,No Data,Q1 2005,FINANCE,13F,09/30/2020,112.4848,117.99
Ishares s&p 500 value etf,IVE,"",10426091.0,1172414000.0,0.22284,0.2484,106,57208.0,0.551728,addition,No Data,Q2 2003,FINANCE,13F,09/30/2020,80.546,126.12
Fidelity national information services inc,FIS,"",7957247.0,1171386000.0,0.222645,0.2266,107,321337.0,4.208235,addition,1.2842483,Q3 2001,FINANCE,13F,09/30/2020,105.8601,140.79
Spdr s&p technology etf,XLK,"",10034007.0,1170969000.0,0.222565,0.1941,108,1641438.0,19.558231,addition,No Data,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,66.7913,129.06
Ishares trust - core s&p mid-cap 400 exchange traded fund,IJH,"",6199717.0,1148869000.0,0.218365,0.2404,109,92204.0,1.509682,addition,No Data,Q2 2001,FINANCE,13F,09/30/2020,138.5361,230.69
Ishares tips bond etf,TIP,"",9043345.0,1143983000.0,0.217436,0.2153,110,1136054.0,14.367171,addition,No Data,Q1 2004,FINANCE,13F,09/30/2020,116.4447,127.25
International business machines corp,IBM,"",9261401.0,1126834000.0,0.214177,0.23,111,658340.0,7.652393,addition,1.0399306,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,146.7786,124.69
Tesla inc,TSLA,"",2584248.0,1108669000.0,0.210724,0.1152,112,173863.0,7.21308,addition,0.2768224,Q3 2010,CONSUMER DISCRETIONARY,13F,09/30/2020,350.4188,661.77
Ishares edge msci min vol usa etf,USMV,"",17227701.0,1097922000.0,0.208681,0.2374,113,-460785.0,-2.605,reduction,No Data,Q4 2011,FINANCE,13F,09/30/2020,51.83,67.11
Starbucks corp.,SBUX,"",12722509.0,1093119000.0,0.207769,0.2463,114,-2398897.0,-15.864246,reduction,1.0883241,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,56.0,102.01
Ishares trust core s&p small cap index fund,IJR,"",15373972.0,1079713000.0,0.20522,0.2238,115,570906.0,3.856674,addition,No Data,Q1 2001,FINANCE,13F,09/30/2020,66.0512,92.07
Medtronic plc,MDT,"",10339152.0,1074444000.0,0.204219,0.1965,116,659510.0,6.813372,addition,0.7691590,Q1 2001,HEALTH CARE,13F,09/30/2020,78.9138,114.03
Broadcom ltd. (avago technologies),AVGO,"",2912980.0,1061256000.0,0.201712,0.1865,117,242922.0,9.098005,addition,0.7201410,Q3 2009,INFORMATION TECHNOLOGY,13F,09/30/2020,253.4197,431.46
Ishares 1-3 year treasury bond etf,SHY,"",12264346.0,1060989000.0,0.201662,0.2323,118,148658.0,1.226988,addition,No Data,Q3 2002,FINANCE,13F,09/30/2020,85.1171,86.37
First trust value line dividend index fund,FVD,"",33322478.0,1048326000.0,0.199255,0.2265,119,-424488.0,-1.257855,reduction,No Data,Q1 2009,FINANCE,13F,09/30/2020,29.53,34.64
Zillow group inc class c,Z,"",10179946.0,1034182000.0,0.196566,0.1356,120,-455639.0,-4.284099,reduction,4.4848340,Q3 2015,COMMUNICATIONS,13F,09/30/2020,41.9,138.64
Viacomcbs inc. class b,VIAC,"",36115765.0,1011602000.0,0.192275,0.0591,121,24675148.0,215.680221,addition,5.8625884,Q1 2001,COMMUNICATIONS,13F,09/30/2020,30.9148,35.99
Taiwan semiconductor manufacturing co ltd adr,TSM,"",12225071.0,991087000.0,0.188375,0.1568,122,-251191.0,-2.013351,reduction,0.2357287,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,38.22,105.97
Blackstone group inc,BX,"",18896315.0,986388000.0,0.187482,0.232,123,400764.0,2.166813,addition,2.7315769,Q3 2007,FINANCE,13F,09/30/2020,31.1853,64.99
Intercontinental exchange inc,ICE,"",9768167.0,977308000.0,0.185756,0.0498,124,7309767.0,297.338391,addition,1.7404357,Q4 2005,FINANCE,13F,09/30/2020,96.4032,112.69
Boeing company,BA,"",5835189.0,964323000.0,0.183288,0.2053,125,775814.0,15.334187,addition,1.0337855,Q1 2001,INDUSTRIALS,13F,09/30/2020,157.578,217.15
Mongodb inc,MDB,"",4147750.0,960246000.0,0.182513,0.2651,126,-1143889.0,-21.616913,reduction,7.0457290,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,105.74,378.48
Ishares nasdaq biotechnology index fund,IBB,"",7072018.0,957621000.0,0.182015,0.1588,127,1823668.0,34.747454,addition,No Data,Q3 2001,HEALTH CARE,13F,09/30/2020,85.7467,156.12
Ishares russell midcap growth etf,IWP,"",11027572.0,953168000.0,0.181168,0.1925,128,26000.0,0.23633,addition,No Data,Q3 2002,FINANCE,13F,09/30/2020,100.1476,104.29
Union pacific corp.,UNP,"",4788037.0,942621000.0,0.179163,0.1606,129,496432.0,11.567514,addition,0.7053275,Q1 2001,TRANSPORTS,13F,09/30/2020,123.354,203.39
Chewy inc,CHWY,"",16858355.0,924345000.0,0.17569,0.2399,130,-7397347.0,-30.497353,reduction,4.1981813,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2020,37.2,104.01
Vanguard mid-cap index fund-etf shares,VO,"",5237970.0,923245000.0,0.175481,0.1892,131,23424.0,0.449205,addition,No Data,Q1 2005,FINANCE,13F,09/30/2020,123.6563,207.08
Trip.com group ltd,TCOM,"",29641240.0,923027000.0,0.175439,0.156,132,2452754.0,9.021297,addition,4.9979349,Q3 2005,CONSUMER DISCRETIONARY,13F,09/30/2020,27.4068,31.99
Ishares short treasury bond etf,SHV,"",8260431.0,914430000.0,0.173805,0.213,133,-428726.0,-4.934034,reduction,No Data,Q1 2007,FINANCE,13F,09/30/2020,110.79,110.52
Snap inc class a,SNAP,"",34892634.0,911047000.0,0.173162,0.1515,134,5758496.0,19.765459,addition,2.3749081,Q1 2017,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,22.3276,50.15
Ishares gold trust,IAU,"",50074161.0,900835000.0,0.171221,0.1752,135,3489682.0,7.491083,addition,No Data,Q4 2005,MATERIALS,13F,09/30/2020,14.0455,17.92
Ecolab inc.,ECL,"",4486521.0,896587000.0,0.170414,0.1719,136,582990.0,14.93494,addition,1.5720954,Q1 2001,MATERIALS,13F,09/30/2020,180.8292,216.12
Spdr s&p financial etf,XLF,"",37049807.0,891789000.0,0.169502,0.1743,137,3014609.0,8.857328,addition,No Data,Q4 2001,FINANCE,13F,09/30/2020,20.5241,28.95
Vanguard small-cap index fund-etf shares,VB,"",5756842.0,885403000.0,0.168288,0.1806,138,157897.0,2.820121,addition,No Data,Q1 2006,FINANCE,13F,09/30/2020,115.753,195.89
American express co,AXP,"",8662806.0,868446000.0,0.165065,0.1794,139,148905.0,1.748963,addition,1.0759096,Q1 2001,FINANCE,13F,09/30/2020,88.4268,117.35
Datadog inc,DDOG,"",8432539.0,861468000.0,0.163739,0.1552,140,366675.0,4.54601,addition,2.7799384,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,79.0793,106.28
