Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Invesco qqq trust series 1,QQQ,PUT,17532700.0,4838149000.0,0.80969,0.3413,11,10389700.0,145.452891,addition,No Data,Q1 2008,FINANCE,13F,09/30/2020,,311.86
Facebook inc,FB,"",18365905.0,4808011000.0,0.804646,0.7278,12,1757365.0,10.581093,addition,0.7639826,Q2 2012,COMMUNICATIONS,13F,09/30/2020,152.1887,251.36
Tesla inc,TSLA,"",11341387.0,4752835000.0,0.795412,0.5732,13,-2412908.0,-17.542942,reduction,1.1964741,Q3 2010,CONSUMER DISCRETIONARY,13F,09/30/2020,16.34,826.16
Texas instruments  inc.,TXN,"",33569215.0,4750043000.0,0.794945,0.7906,14,1305791.0,4.04728,addition,3.6570078,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,80.7893,169.19
Ishares russell 2000 etf,IWM,PUT,33168100.0,4664553000.0,0.780638,0.4238,15,15326600.0,85.904212,addition,No Data,Q4 2015,FINANCE,13F,09/30/2020,,210.75
Jpmorgan betabuilders europe etf,BBEU,"",202651677.0,4658962000.0,0.779702,0.9528,16,-20042634.0,-9.000066,reduction,No Data,Q2 2018,FINANCE,13F,09/30/2020,22.58,26.59
Unitedhealth group inc.,UNH,"",15038210.0,4573871000.0,0.765462,0.8903,17,-603348.0,-3.85734,reduction,1.5849369,Q1 2001,HEALTH CARE,13F,09/30/2020,113.4,351.3
Alphabet inc. class a,GOOGL,"",3054384.0,4477788000.0,0.749382,0.7559,18,292233.0,10.579907,addition,1.0159477,Q3 2004,COMMUNICATIONS,13F,09/30/2020,674.9862,1727.62
Jpmorgan betabuilders japan etf,BBJP,"",179300276.0,4464576000.0,0.74717,0.7801,19,3006783.0,1.705555,addition,No Data,Q2 2018,FINANCE,13F,09/30/2020,23.0673,28.44
Nextera energy inc.,NEE,"",58049520.0,4108743000.0,0.68762,0.6169,20,4810388.0,9.035437,addition,0.7407775,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,34.5023,82.04
Bristol-myers squibb co,BMY,"",66361034.0,3975029000.0,0.665242,0.7325,21,1807968.0,2.800747,addition,2.9366518,Q1 2001,HEALTH CARE,13F,09/30/2020,54.3951,66.54
Alphabet inc. class c,GOOG,"",2683061.0,3942304000.0,0.659765,0.8801,22,-542842.0,-16.827598,reduction,0.8133761,Q2 2014,COMMUNICATIONS,13F,09/30/2020,605.78,1736.19
Home depot  inc. (the),HD,"",14078220.0,3830824000.0,0.641109,0.7047,23,-497457.0,-3.412926,reduction,1.3076546,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,62.05,275.59
Paypal holdings inc,PYPL,"",19006679.0,3696801000.0,0.618679,0.6305,24,253953.0,1.354219,addition,1.6221569,Q3 2015,COMMUNICATIONS,13F,09/30/2020,71.6381,239.79
Jpmorgan betabuilders canada etf,BBCA,"",145953925.0,3489759000.0,0.58403,0.6307,25,1406544.0,0.973068,addition,No Data,Q3 2018,FINANCE,13F,09/30/2020,23.7906,27.69
Johnson & johnson co.,JNJ,"",23555455.0,3464066000.0,0.57973,0.6292,26,372601.0,1.607227,addition,0.8947796,Q1 2001,HEALTH CARE,13F,09/30/2020,115.0045,160.3
Nvidia corp.,NVDA,"",6381701.0,3376111000.0,0.56501,0.4532,27,199740.0,3.231014,addition,1.0309695,Q4 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,127.3618,514.38
Norfolk southern corp.,NSC,"",15079816.0,3254374000.0,0.544637,0.521,28,-296115.0,-1.925835,reduction,5.4974407,Q1 2001,TRANSPORTS,13F,09/30/2020,139.82,252.95
Ishares s&p 500 growth etf,IVW,"",54173340.0,3110227000.0,0.520513,0.5599,29,-1759284.0,-3.145363,reduction,No Data,Q2 2004,FINANCE,13F,09/30/2020,40.07,63.04
Advanced micro devices inc,AMD,"",37940690.0,3102411000.0,0.519205,0.3339,30,5055614.0,15.373582,addition,3.1510257,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,33.9027,88.21
Ishares core s&p 500 etf,IVV,"",9204828.0,3069903000.0,0.513765,0.5496,31,9448.0,0.102747,addition,No Data,Q2 2003,FINANCE,13F,09/30/2020,230.5484,377.1
Analog devices inc,ADI,"",26039376.0,3037493000.0,0.508341,0.5169,32,4199225.0,19.227088,addition,7.0474804,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,83.9203,157.75
Procter & gamble co. (oh) (1905),PG,"",22093271.0,3032522000.0,0.507509,0.5185,33,-374808.0,-1.66818,reduction,0.8909993,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,85.96,134.78
Comcast corp.  class a,CMCSA,"",65586329.0,3030087000.0,0.507101,0.4768,34,2202613.0,3.475046,addition,1.4364448,Q4 2002,COMMUNICATIONS,13F,09/30/2020,24.6026,48.69
Salesforce.com inc.,CRM,"",12219059.0,3023606000.0,0.506016,0.4139,35,771094.0,6.735643,addition,1.3314373,Q1 2005,INFORMATION TECHNOLOGY,13F,09/30/2020,122.7969,213.14
Eaton corp. (torbenson axle co. - eaton axle & spring),ETN,"",23650096.0,2841322533.44,0.47551,0.4017,36,23463.0,0.099307,addition,5.9332905,,CONSUMER DISCRETIONARY,13G,12/31/2020,,123.17
Ishares msci eafe index fund,EFA,"",43650802.0,2791904000.0,0.46724,0.5674,37,-4646979.0,-9.621517,reduction,No Data,Q3 2002,FINANCE,13F,09/30/2020,62.01,74.4
Lilly (eli) & co.,LLY,"",18842425.0,2755892000.0,0.461213,0.5051,38,2900041.0,18.190761,addition,1.9697666,Q1 2001,HEALTH CARE,13F,09/30/2020,95.9855,190.77
Netflix inc,NFLX,"",5558668.0,2743090000.0,0.459071,0.4576,39,347462.0,6.667593,addition,1.2582007,Q3 2005,COMMUNICATIONS,13F,09/30/2020,315.1566,497.98
Prologis  inc.,PLD,"",27054679.0,2694917000.0,0.451009,0.4503,40,2051834.0,8.206402,addition,3.6598806,Q4 2001,REAL ESTATE,13F,09/30/2020,67.5258,97.68
Coca cola co.,KO,"",54638237.0,2672904000.0,0.447325,0.4059,41,7560062.0,16.058528,addition,1.2714152,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,44.2691,48.7
Bank of america corp. (north carolina national bank),BAC,"",111591940.0,2652539000.0,0.443916,0.5618,42,-10986303.0,-8.962686,reduction,1.2899623,Q1 2001,FINANCE,13F,09/30/2020,18.21,33.01
Verizon communications (bell atlantic corp.),VZ,"",44559231.0,2639689000.0,0.441766,0.6191,43,-13632804.0,-23.427268,reduction,1.0768056,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,50.89,57.38
Ishares 7-10 year treasury bond etf,IEF,"",21290351.0,2600616000.0,0.435227,0.6065,44,-4495832.0,-17.435043,reduction,No Data,Q3 2008,FINANCE,13F,09/30/2020,109.65,118.45
Abbvie inc,ABBV,"",29190573.0,2536368000.0,0.424475,0.5429,45,539914.0,1.884473,addition,1.6534129,Q1 2013,HEALTH CARE,13F,09/30/2020,82.9573,110.52
Ishares s&p 500 value etf,IVE,"",22680205.0,2529524000.0,0.423329,0.4807,46,-338293.0,-1.469657,reduction,No Data,Q3 2004,FINANCE,13F,09/30/2020,97.89,130.97
Mercadolibre inc,MELI,"",2244724.0,2430745000.0,0.406798,0.4254,47,8369.0,0.374225,addition,4.5011756,Q3 2014,COMMUNICATIONS,13F,09/30/2020,353.5877,1851.78
Xcel energy inc. (northern states power co. (mn)),XEL,"",35055062.0,2406356000.0,0.402716,0.4196,48,265550.0,0.763305,addition,6.5242660,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,40.0014,64.96
Stanley black & decker inc.,SWK,"",13470301.0,2405256946.56,0.402532,0.3218,49,1611198.0,13.586171,addition,8.4072049,,CONSUMER DISCRETIONARY,13G,12/31/2020,,172.63
Morgan stanley,MS,"",50251909.0,2373903000.0,0.397285,0.4817,50,-1421238.0,-2.750438,reduction,2.7775789,Q1 2001,FINANCE,13F,09/30/2020,31.92,75.24
Ishares 20+ year treasury bond etf,TLT,"",14160990.0,2334296000.0,0.390657,0.2531,51,6162161.0,77.038289,addition,No Data,Q2 2008,FINANCE,13F,09/30/2020,148.7434,151.82
Merck & co,MRK,"",28445148.0,2329657000.0,0.38988,0.407,52,1174323.0,4.306151,addition,1.1242988,Q1 2001,HEALTH CARE,13F,09/30/2020,59.0876,83.38
Ishares russell 2000 etf,IWM,"",15546947.0,2321781000.0,0.388562,0.3708,53,2128221.0,15.860082,addition,No Data,Q2 2003,FINANCE,13F,09/30/2020,140.408,210.75
Ishares core u.s. aggregate bond etf,AGG,"",19474121.0,2302815000.0,0.385388,0.3873,54,2498195.0,14.716104,addition,No Data,Q2 2004,FINANCE,13F,09/30/2020,112.9256,117.25
Mcdonalds corp.,MCD,"",10458276.0,2287018000.0,0.382745,0.3685,55,105885.0,1.022807,addition,1.4035863,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,171.2633,209.91
Spdr s&p health care etf,XLV,"",20073975.0,2084080000.0,0.348782,0.3437,56,2276030.0,12.788162,addition,No Data,Q1 2004,HEALTH CARE,13F,09/30/2020,87.8008,116.97
Thermo fisher scientific  inc.,TMO,"",4791630.0,2081196000.0,0.348299,0.3522,57,-245139.0,-4.866989,reduction,1.2089842,Q1 2001,HEALTH CARE,13F,09/30/2020,228.89,503.14
Sea ltd adr,SE,"",13406674.0,2080047000.0,0.348107,0.2523,58,1214218.0,9.958765,addition,2.6188415,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2020,54.2299,226.05
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",12625925.0,2077091000.0,0.347612,0.3085,59,1569096.0,14.191194,addition,1.7993703,Q1 2001,INDUSTRIALS,13F,09/30/2020,97.7134,205.97
Amgen  inc.,AMGN,"",8270553.0,2053580000.0,0.343677,0.3131,60,1392173.0,20.239838,addition,1.4206456,Q1 2001,HEALTH CARE,13F,09/30/2020,222.2904,245.49
Blackrock inc. class a,BLK,"",3408034.0,1890778000.0,0.316432,0.3572,61,5934.0,0.174422,addition,2.2346195,Q4 2006,FINANCE,13F,09/30/2020,368.4703,727.76
Pepsico inc. (loft  inc.),PEP,"",13673417.0,1875447000.0,0.313866,0.349,62,1359.0,0.00994,addition,0.9894246,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,100.3738,141.39
Jpmorgan betabuilders international equity etf,BBIN,"",38249375.0,1853182000.0,0.31014,0.3169,63,2622637.0,7.361429,addition,No Data,Q2 2020,FINANCE,13F,09/30/2020,46.236,56.318
Tesla inc,TSLA,PUT,4388500.0,1839089000.0,0.307781,0.19,64,-170000.0,-3.729297,reduction,N/A,Q3 2014,CONSUMER DISCRETIONARY,13F,09/30/2020,,826.16
Medtronic plc,MDT,"",17851223.0,1833141000.0,0.306786,0.3006,65,865762.0,5.097077,addition,1.3262228,Q1 2001,HEALTH CARE,13F,09/30/2020,89.7807,116.81
Cigna holding co,CI,"",11136731.0,1829875000.0,0.306239,0.3404,66,1738261.0,18.495149,addition,3.0826847,Q1 2001,FINANCE,13F,09/30/2020,165.2411,218.9
Hdfc bank ltd adr,HDB,"",36723696.0,1797995000.0,0.300904,0.3088,67,1522821.0,4.326088,addition,2.0003259,Q3 2001,FINANCE,13F,09/30/2020,36.5789,74.88
Truist financial corp,TFC,"",48473224.0,1793995000.0,0.300235,0.2548,68,13312350.0,37.86126,addition,3.5956209,Q1 2001,FINANCE,13F,09/30/2020,46.1088,51.97
Charter communications inc,CHTR,"",2834725.0,1775955000.0,0.297215,0.2645,69,147100.0,5.473234,addition,1.3834731,Q3 2010,COMMUNICATIONS,13F,09/30/2020,256.0665,628.91
Air products & chemicals inc,APD,"",5989893.0,1760188000.0,0.294577,0.2839,70,-103051.0,-1.691317,reduction,2.7097572,Q1 2001,MATERIALS,13F,09/30/2020,175.12,286.91
Berkshire hathaway inc class b,BRK.B,"",8317683.0,1750374000.0,0.292934,0.2938,71,-210822.0,-2.471969,reduction,0.6067087,Q1 2001,FINANCE,13F,09/30/2020,158.13,233.49
Vanguard s&p 500 etf,VOO,"",5698876.0,1739868000.0,0.291176,0.3171,72,-98929.0,-1.706318,reduction,No Data,Q3 2012,FINANCE,13F,09/30/2020,218.83,345.37
Oreilly automotive inc.,ORLY,"",3806742.0,1725673000.0,0.288801,0.3081,73,20450.0,0.540106,addition,5.2544169,Q2 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,270.4695,466.69
Progressive corp.,PGR,"",18097042.0,1703835000.0,0.285146,0.2634,74,1060295.0,6.223577,addition,3.0919258,Q1 2001,FINANCE,13F,09/30/2020,59.32,94.8
Chevron corp. (standard oil of california),CVX,"",23582640.0,1695595000.0,0.283767,0.4445,75,-2227657.0,-8.630885,reduction,1.2250657,Q1 2001,ENERGY,13F,09/30/2020,109.1,92.09
Ishares russell 1000 growth etf,IWF,"",7862623.0,1691486000.0,0.283079,0.3068,76,-420249.0,-5.073711,reduction,No Data,Q2 2004,FINANCE,13F,09/30/2020,129.45,238.44
Boston scientific inc.,BSX,"",41555253.0,1569126000.0,0.262602,0.2678,77,2029505.0,5.13464,addition,2.9342341,Q1 2001,HEALTH CARE,13F,09/30/2020,23.3814,36.33
Northrop grumman corp.,NOC,"",4808332.0,1564055000.0,0.261753,0.1933,78,1549606.0,47.55251,addition,2.8841458,Q1 2001,INDUSTRIALS,13F,09/30/2020,259.1846,300.75
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",14050314.0,1502400000.0,0.251435,0.2816,79,181008.0,1.305098,addition,3.3160914,Q1 2001,FINANCE,13F,09/30/2020,95.4882,154.78
Lam research corp.,LRCX,"",4440062.0,1499455000.0,0.250942,0.226,80,819516.0,22.63515,addition,3.0831790,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,224.8068,547.53
Mondelez international inc. (kraft foods),MDLZ,"",26517105.0,1497685000.0,0.250646,0.2532,81,858960.0,3.347709,addition,1.8541320,Q2 2001,CONSUMER STAPLES,13F,09/30/2020,38.2527,57.22
Epam systems  inc.,EPAM,"",4152005.0,1487870991.75,0.249003,0.2284,82,-23724.0,-0.56814,reduction,7.4157607,,INFORMATION TECHNOLOGY,13G,12/31/2020,,348.01
Spdr gold trust,GLD,PUT,8044100.0,1433378000.0,0.239883,0.319,83,-1830500.0,-18.53746,reduction,No Data,Q2 2008,MATERIALS,13F,09/30/2020,,171.13
Nxp semiconductors n.v.,NXPI,"",11576448.0,1427259000.0,0.238859,0.2079,84,2131688.0,22.57006,addition,4.1381465,Q4 2011,INFORMATION TECHNOLOGY,13F,09/30/2020,102.8471,172.22
Invesco qqq trust series 1,QQQ,"",5159333.0,1423718000.0,0.238267,0.1868,85,1250861.0,32.003837,addition,No Data,Q1 2001,FINANCE,13F,09/30/2020,200.7513,311.86
Qualcomm inc.,QCOM,"",12061607.0,1415791000.0,0.23694,0.2297,86,-988345.0,-7.573553,reduction,1.0664551,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,71.47,157.09
Ishares inc. msci japan index,EWJ,"",23593491.0,1404519000.0,0.235054,0.2181,87,3018412.0,14.670233,addition,No Data,Q3 2003,FINANCE,13F,09/30/2020,164.7382,68.72
Philip morris international inc,PM,"",18828048.0,1399678000.0,0.234244,0.2555,88,-71885.0,-0.380345,reduction,1.2090063,Q2 2008,CONSUMER STAPLES,13F,09/30/2020,90.88,80.94
Jpmorgan betabuilders developed asia ex-japan etf,BBAX,"",60590260.0,1374186000.0,0.229977,0.2595,89,556352.0,0.92673,addition,No Data,Q3 2018,FINANCE,13F,09/30/2020,23.9475,27.96
Synopsys inc.,SNPS,"",6461645.0,1371936000.0,0.229601,0.2401,90,80851.0,1.267099,addition,4.2224006,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,83.5625,258.92
Best buy co.  inc.,BBY,"",12427382.0,1368006000.0,0.228943,0.1887,91,1225535.0,10.940473,addition,4.7992389,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,59.217,114.0
Equinix inc,EQIX,"",1787159.0,1364427000.0,0.228344,0.2074,92,257258.0,16.815336,addition,2.0057514,Q4 2003,INFORMATION TECHNOLOGY,13F,09/30/2020,476.1947,707.76
Invesco qqq trust series 1,QQQ,CALL,4913900.0,1355991000.0,0.226932,0.181,93,1125200.0,29.698841,addition,No Data,Q1 2011,FINANCE,13F,09/30/2020,,311.86
Raytheon technologies corp. (united technologies),RTX,"",23388712.0,1347187000.0,0.225459,0.2616,94,1392311.0,6.329722,addition,1.5400315,Q1 2001,INDUSTRIALS,13F,09/30/2020,52.5179,69.2
Booking holdings inc. (priceline),BKNG,"",788079.0,1318441000.0,0.220648,0.243,95,-2726.0,-0.344712,reduction,1.9242600,Q3 2006,CONSUMER DISCRETIONARY,13F,09/30/2020,1626.48,2119.23
Pfizer  inc.,PFE,"",38124833.73,1308326000.0,0.218955,0.2542,96,-4327424.66,-10.193626,reduction,0.6507555,Q1 2001,HEALTH CARE,13F,09/30/2020,29.26,36.7
Trane technologies plc,TT,"",10777090.0,1306397000.0,0.218632,0.1651,97,1162420.0,12.090067,addition,4.4881181,Q1 2001,INDUSTRIALS,13F,09/30/2020,98.9287,149.51
Chubb limited,CB,"",11415820.0,1305285000.0,0.218446,0.2648,98,580742.0,5.359832,addition,2.5291461,Q1 2001,FINANCE,13F,09/30/2020,105.9264,155.19
Zimmer biomet holdings inc,ZBH,"",9756997.0,1301582000.0,0.217827,0.2135,99,490415.0,5.292297,addition,4.7071949,Q3 2001,HEALTH CARE,13F,09/30/2020,119.5481,160.12
Eastman chemical co.,EMN,"",12885539.0,1292161850.92,0.21625,0.1593,100,597890.0,4.86578,addition,9.5118767,,MATERIALS,13G,12/31/2020,,104.78
Asml holding nv (adr),ASML,"",3421028.0,1279465000.0,0.214125,0.3081,101,-916465.0,-21.12891,reduction,0.8155062,Q1 2011,INFORMATION TECHNOLOGY,13F,09/30/2020,270.93,527.5
Ishares russell 2000 etf,IWM,CALL,10202300.0,1278845000.0,0.214021,0.1842,102,1369200.0,15.500787,addition,No Data,Q4 2015,FINANCE,13F,09/30/2020,,210.75
Ishares russell 1000 value etf,IWD,"",10898995.0,1278125000.0,0.213901,0.2387,103,-82242.0,-0.748932,reduction,No Data,Q4 2002,FINANCE,13F,09/30/2020,100.56,140.61
Linde plc (praxair inc.),LIN,"",5392859.0,1275035000.0,0.213384,0.2351,104,-351653.0,-6.121547,reduction,1.0274917,Q1 2001,MATERIALS,13F,09/30/2020,160.86,258.09
Cms energy corp. (consumers power co.),CMS,"",20699909.0,1264973000.0,0.2117,0.1868,105,4135462.0,24.965892,addition,7.2292761,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,42.2608,58.62
Dover corp.,DOV,"",11615817.0,1257296000.0,0.210415,0.2044,106,647756.0,5.905839,addition,8.0607572,Q1 2001,INDUSTRIALS,13F,09/30/2020,69.0409,125.38
Nike inc.,NKE,"",9878715.0,1248175000.0,0.208889,0.1671,107,1045350.0,11.834109,addition,0.7769469,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,79.4628,140.72
Dexcom inc,DXCM,"",3072859.0,1235841000.0,0.206825,0.2374,108,38319.0,1.262761,addition,3.1999747,Q1 2012,HEALTH CARE,13F,09/30/2020,97.8696,354.2
Enphase energy inc,ENPH,"",6953376.0,1220108886.72,0.204192,0.0828,109,853154.0,13.985622,addition,5.5040249,,INFORMATION TECHNOLOGY,13G,12/31/2020,,190.59
Visa inc,V,"",6053626.0,1207336000.0,0.202054,0.2059,110,529352.0,9.582291,addition,0.3570035,Q2 2008,FINANCE,13F,09/30/2020,40.7654,201.59
Cme group inc,CME,"",7244533.0,1203463000.0,0.201406,0.2652,111,-1210239.0,-14.314271,reduction,2.0180463,Q2 2004,FINANCE,13F,09/30/2020,116.35,191.82
Accenture plc,ACN,"",5303978.0,1188514000.0,0.198904,0.2045,112,368628.0,7.469136,addition,0.8022532,Q3 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,105.9555,253.65
Spdr s&p biotech etf,XBI,"",10539489.0,1177155000.0,0.197003,0.2285,113,-35855.0,-0.339043,reduction,No Data,Q4 2007,HEALTH CARE,13F,09/30/2020,79.84,151.73
Intuitive surgical inc,ISRG,"",1682841.0,1166093000.0,0.195152,0.1908,114,-52221.0,-3.009748,reduction,1.4315291,Q1 2004,HEALTH CARE,13F,09/30/2020,150.37,778.42
Constellation brands  inc.,STZ,"",6212684.0,1165003000.0,0.194969,0.2257,115,-471769.0,-7.057705,reduction,3.6538946,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,172.54,219.99
Fidelity national information services inc,FIS,"",7806463.0,1161603000.0,0.1944,0.2267,116,-955074.0,-10.900759,reduction,1.2580745,Q3 2001,FINANCE,13F,09/30/2020,81.6,129.73
Lowes companies  inc.,LOW,"",7096259.0,1151439000.0,0.192699,0.2119,117,-1031176.0,-12.687595,reduction,0.9684779,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,79.04,171.34
Deere & co.,DE,"",5187494.0,1142183000.0,0.19115,0.1673,118,-329293.0,-5.968927,reduction,1.6554354,Q1 2001,INDUSTRIALS,13F,09/30/2020,147.53,295.4
Netease inc adr,NTES,"",12573610.0,1133537000.0,0.189703,0.2423,119,-2043895.0,-13.982516,reduction,0.3668620,Q2 2009,COMMUNICATIONS,13F,09/30/2020,61.11,105.08
Ishares 3-7 year treasury bond etf,IEI,"",8362519.0,1118319000.0,0.187157,0.3141,120,-3813486.0,-31.319682,reduction,No Data,Q3 2009,FINANCE,13F,09/30/2020,127.5,132.44
Parker-hannifin corp.,PH,"",5521141.0,1116264000.0,0.186813,0.181,121,404469.0,7.904923,addition,4.2865920,Q1 2001,INDUSTRIALS,13F,09/30/2020,170.3025,285.17
Regeneron pharmaceuticals inc.,REGN,"",1923354.0,1103255000.0,0.184636,0.2163,122,125884.0,7.003399,addition,1.8342587,Q1 2001,HEALTH CARE,13F,09/30/2020,467.4465,517.93
Jd.com inc adr,JD,"",14632713.0,1099795000.0,0.184057,0.232,123,-5342966.0,-26.747356,reduction,0.9441209,Q2 2014,CONSUMER DISCRETIONARY,13F,09/30/2020,46.5,87.77
Walmart inc,WMT,"",7989373.0,1095664000.0,0.183365,0.1685,124,699224.0,9.591354,addition,0.2823813,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,95.3536,144.64
T. rowe price group,TROW,"",8539512.0,1088702000.0,0.1822,0.2285,125,-1046115.0,-10.913371,reduction,3.7713228,Q1 2001,FINANCE,13F,09/30/2020,71.64,156.42
S&p global inc. (mcgraw-hill inc.),SPGI,"",3019309.0,1077833000.0,0.180381,0.1805,126,180238.0,6.348485,addition,1.2549143,Q1 2001,COMMUNICATIONS,13F,09/30/2020,139.4121,305.95
Ishares transportation average etf,IYT,PUT,6352500.0,1039417000.0,0.173952,0.0063,127,6152500.0,3076.25,addition,No Data,Q1 2017,INDUSTRIALS,13F,09/30/2020,,228.48
Ishares short treasury bond etf,SHV,"",9220010.0,1020747000.0,0.170827,0.2347,128,-1760379.0,-16.032028,reduction,No Data,Q4 2011,FINANCE,13F,09/30/2020,110.65,110.51
Leidos holdings inc,LDOS,"",11258342.0,1019669000.0,0.170647,0.1668,129,2028581.0,21.978695,addition,7.9105287,Q1 2007,INDUSTRIALS,13F,09/30/2020,85.1083,107.16
American express co,AXP,"",10349321.0,1011646000.0,0.169304,0.2323,130,-2294479.0,-18.147068,reduction,1.2853075,Q1 2001,FINANCE,13F,09/30/2020,97.84,122.15
Sherwin-williams co.,SHW,"",1430614.0,1009542000.0,0.168952,0.1535,131,53760.0,3.904553,addition,1.5751410,Q1 2001,MATERIALS,13F,09/30/2020,215.6158,725.55
Ishares mbs etf,MBB,"",9051074.0,999419000.0,0.167258,0.2111,132,-832266.0,-8.420898,reduction,No Data,Q1 2012,FINANCE,13F,09/30/2020,106.67,110.17
Servicenow inc,NOW,"",2026447.0,988865000.0,0.165492,0.156,133,31318.0,1.569723,addition,1.0386709,Q1 2013,INFORMATION TECHNOLOGY,13F,09/30/2020,94.1847,513.76
Public storage  inc.,PSA,"",4381966.0,968021000.0,0.162003,0.1195,134,1154458.0,35.76933,addition,2.5065280,Q1 2001,REAL ESTATE,13F,09/30/2020,212.1138,224.39
Seagen inc,SGEN,"",5048241.0,964012000.0,0.161333,0.1105,135,1678306.0,49.802326,addition,2.7906962,Q1 2001,HEALTH CARE,13F,09/30/2020,155.8175,185.75
Fleetcor technologies inc,FLT,"",3995822.0,961997000.0,0.160995,0.1655,136,585561.0,17.170563,addition,4.7910601,Q4 2010,INFORMATION TECHNOLOGY,13F,09/30/2020,219.8958,265.23
Chipotle mexican grill  inc.,CMG,"",760920.0,959984000.0,0.160658,0.1494,137,25151.0,3.418328,addition,2.7194800,Q3 2006,CONSUMER DISCRETIONARY,13F,09/30/2020,762.2963,1405.74
Charles schwab corp,SCHW,"",26828333.0,959917000.0,0.160647,0.1813,138,-1007658.0,-3.619982,reduction,1.4906419,Q1 2001,FINANCE,13F,09/30/2020,35.06,58.75
International business machines corp,IBM,"",7929772.0,959026000.0,0.160498,0.1389,139,1969016.0,33.032991,addition,0.8899286,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,124.9248,128.39
Capital one financial corp,COF,"",13586259.0,957152000.0,0.160184,0.1375,140,2201222.0,19.334342,addition,2.9703422,Q1 2001,FINANCE,13F,09/30/2020,73.3767,112.53
