Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Salesforce.com inc.,CRM,"",64198317.0,16134322000.0,0.593442,0.4845,23,-597829.0,-0.92263,reduction,6.9953039,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,106.81,213.14
Paypal holdings inc,PYPL,"",81197889.0,15998421000.0,0.588444,0.558,24,963897.0,1.201357,addition,6.9299698,Q3 2015,COMMUNICATIONS,13F,09/30/2020,60.0753,239.79
Pfizer  inc.,PFE,"",437165930.49,15222003000.0,0.559886,0.558,25,-13455331.33,-2.985951,reduction,7.4620158,Q3 2007,HEALTH CARE,13F,09/30/2020,34.25,36.7
Coca cola co.,KO,"",301442831.0,14882230000.0,0.547389,0.5315,26,3404545.0,1.142318,addition,7.0144832,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,43.3389,48.7
Abbott laboratories,ABT,"",135019032.0,14694122000.0,0.54047,0.4917,27,273599.0,0.203049,addition,7.6180297,Q3 2007,HEALTH CARE,13F,09/30/2020,51.4565,111.3
Comcast corp.  class a,CMCSA,"",315259401.0,14583900000.0,0.536416,0.4918,28,-845951.0,-0.267617,reduction,6.9046818,Q3 2007,COMMUNICATIONS,13F,09/30/2020,37.2,48.69
Netflix inc,NFLX,"",29022083.0,14511911000.0,0.533768,0.5298,29,-149052.0,-0.510957,reduction,6.5691288,Q2 2009,COMMUNICATIONS,13F,09/30/2020,180.46,497.98
Pepsico inc. (loft  inc.),PEP,"",103054198.0,14283311000.0,0.52536,0.5485,30,-848389.0,-0.816523,reduction,7.4571232,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,112.41,141.39
Walt disney co. (the),DIS,"",114995699.0,14268664000.0,0.524821,0.5087,31,700871.0,0.613213,addition,6.3516514,Q3 2007,COMMUNICATIONS,13F,09/30/2020,111.4773,171.44
At&t inc. (southwestern bell - sbc corp.),T,"",481902231.0,13739032000.0,0.50534,0.5917,32,-8498189.0,-1.732908,reduction,6.7625909,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,39.09,29.17
Thermo fisher scientific  inc.,TMO,"",28879709.0,12750968000.0,0.468998,0.4188,33,-76232.0,-0.263269,reduction,7.2866880,Q3 2007,HEALTH CARE,13F,09/30/2020,180.38,503.14
Cisco systems  inc.,CSCO,"",321423547.0,12660874000.0,0.465684,0.5914,34,3721337.0,1.171329,addition,7.6067318,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,34.438,45.43
Bank of america corp. (north carolina national bank),BAC,"",509925375.0,12284101000.0,0.451826,0.5023,35,-19908240.0,-3.757451,reduction,5.8945521,Q3 2007,FINANCE,13F,09/30/2020,23.24,33.01
Amgen  inc.,AMGN,"",47985428.0,12195975000.0,0.448584,0.4588,36,-744156.0,-1.527113,reduction,8.2425309,Q3 2007,HEALTH CARE,13F,09/30/2020,167.12,245.49
Walmart inc,WMT,"",87111067.0,12187710000.0,0.44828,0.4228,37,-1315987.0,-1.488218,reduction,3.0789065,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,74.83,144.64
Ishares core msci total international stock etf,IXUS,"",204907580.0,11954308000.0,0.439696,0.4391,38,3138073.0,1.555276,addition,No Data,Q2 2015,FINANCE,13F,09/30/2020,55.6617,69.1
Nike inc.,NKE,"",93294540.0,11712197000.0,0.43079,0.3745,39,-2391046.0,-2.498857,reduction,7.3374832,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2020,61.01,140.72
Medtronic plc,MDT,"",112167184.0,11656415000.0,0.428739,0.407,40,957298.0,0.860803,addition,8.3332483,Q3 2007,HEALTH CARE,13F,09/30/2020,83.0893,116.81
Mcdonalds corp.,MCD,"",50194412.0,11017170000.0,0.405226,0.3786,41,-1225243.0,-2.38283,reduction,6.7365014,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2020,134.95,209.91
Abbvie inc,ABBV,"",122016637.0,10687437000.0,0.393098,0.4834,42,-1339787.0,-1.08611,reduction,6.9112682,Q1 2013,HEALTH CARE,13F,09/30/2020,72.8,110.52
Nextera energy inc.,NEE,"",151213020.0,10492671000.0,0.385935,0.3657,43,-1371888.0,-0.899098,reduction,1.9296490,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,34.77,82.04
Costco co.,COST,"",29435211.0,10449499000.0,0.384347,0.3663,44,-828023.0,-2.736069,reduction,6.6451887,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,184.76,362.16
Accenture plc,ACN,"",45672188.0,10321455000.0,0.379637,0.3939,45,-289040.0,-0.628878,reduction,6.9081472,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,127.28,253.65
Texas instruments  inc.,TXN,"",68729731.0,9813917000.0,0.360969,0.3557,46,-1451985.0,-2.068894,reduction,7.4873708,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,82.68,169.19
Bristol-myers squibb co,BMY,"",162409990.0,9791698000.0,0.360152,0.3841,47,-1232428.0,-0.753123,reduction,7.1870729,Q3 2007,HEALTH CARE,13F,09/30/2020,56.55,66.54
Exxonmobil corp. (standard oil of new jersey),XOM,"",283705818.0,9739620000.0,0.358236,0.5093,48,-1600334.0,-0.560918,reduction,6.7097958,Q3 2007,ENERGY,13F,09/30/2020,80.3,47.89
Danaher corp.,DHR,"",43941424.0,9461905000.0,0.348022,0.3182,49,-1148537.0,-2.547212,reduction,6.1856444,Q4 2019,HEALTH CARE,13F,09/30/2020,155.24,236.75
Broadcom ltd. (avago technologies),AVGO,"",25771477.0,9389064000.0,0.345342,0.3294,50,-379913.0,-1.452745,reduction,6.3365247,Q3 2009,INFORMATION TECHNOLOGY,13F,09/30/2020,220.94,445.85
Chevron corp. (standard oil of california),CVX,"",130343840.0,9384756000.0,0.345184,0.4602,51,1131731.0,0.875871,addition,6.7710727,Q3 2007,ENERGY,13F,09/30/2020,106.2996,92.09
Union pacific corp.,UNP,"",47404110.0,9332446000.0,0.34326,0.3314,52,-1704727.0,-3.471324,reduction,7.0346194,Q3 2007,TRANSPORTS,13F,09/30/2020,110.77,216.6
Lowes companies  inc.,LOW,"",55745489.0,9245946000.0,0.340078,0.316,53,-2853870.0,-4.870139,reduction,7.6079910,Q3 2008,CONSUMER DISCRETIONARY,13F,09/30/2020,82.97,171.34
Lilly (eli) & co.,LLY,"",60471639.0,8951011000.0,0.32923,0.4117,54,-2358862.0,-3.754326,reduction,6.3216394,Q3 2007,HEALTH CARE,13F,09/30/2020,87.4,190.77
Qualcomm inc.,QCOM,"",75781621.0,8917981000.0,0.328015,0.2816,55,-1556826.0,-2.013004,reduction,6.7004086,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,57.07,157.09
Oracle corp,ORCL,"",139378568.0,8320900000.0,0.306054,0.3307,56,-10525873.0,-7.021722,reduction,4.7342717,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,44.63,61.78
American tower corp.  class a,AMT,"",33571973.0,8115354000.0,0.298494,0.3393,57,696521.0,2.118666,addition,7.5576234,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,138.458,219.89
Servicenow inc,NOW,"",15775630.0,7651182000.0,0.281421,0.2525,58,160605.0,1.028529,addition,8.0859200,Q3 2012,INFORMATION TECHNOLOGY,13F,09/30/2020,163.477,513.76
Prologis  inc.,PLD,"",74573539.0,7503588000.0,0.275992,0.2675,59,2758591.0,3.841249,addition,10.0880978,Q4 2008,REAL ESTATE,13F,09/30/2020,60.8478,97.68
Gilead sciences inc.,GILD,"",117783804.0,7442757000.0,0.273755,0.3557,60,1949534.0,1.683037,addition,9.3961834,Q3 2007,HEALTH CARE,13F,09/30/2020,68.54,63.33
United parcel service  inc. class b,UPS,"",44605357.0,7432591000.0,0.273381,0.2071,61,-2066326.0,-4.427366,reduction,6.2366229,Q3 2007,TRANSPORTS,13F,09/30/2020,106.83,158.9
International business machines corp,IBM,"",60946415.0,7415352000.0,0.272747,0.294,62,-51278.0,-0.084065,reduction,6.8397877,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,168.23,128.39
Spdr s&p 500 etf trust,SPY,CALL,21917200.0,7339853000.0,0.26997,0.383,63,-9202200.0,-29.570622,reduction,No Data,Q4 2012,FINANCE,13F,09/30/2020,,375.7
Linde plc (praxair inc.),LIN,"",30492063.0,7261074000.0,0.267072,0.2621,64,-464006.0,-1.498918,reduction,5.8095978,Q4 2007,MATERIALS,13F,09/30/2020,137.44,258.09
Intuit  inc.,INTU,"",21836882.0,7123408000.0,0.262009,0.2729,65,-1248452.0,-5.407988,reduction,7.9683324,Q4 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,150.37,371.01
Wells fargo & co.  (northwest bancorporation),WFC,"",295951725.0,6957825000.0,0.255918,0.2926,66,9644975.0,3.368756,addition,7.1581200,Q3 2007,FINANCE,13F,09/30/2020,52.5517,32.04
Vertex pharmaceuticals  inc.,VRTX,"",25175541.0,6850768000.0,0.251981,0.2956,67,-332357.0,-1.302957,reduction,9.6814893,Q2 2008,HEALTH CARE,13F,09/30/2020,145.43,225.55
Philip morris international inc,PM,"",91236634.0,6841836000.0,0.251652,0.2619,68,-2415873.0,-2.579614,reduction,5.8585822,Q2 2008,CONSUMER STAPLES,13F,09/30/2020,107.29,80.94
Starbucks corp.,SBUX,"",79509316.0,6831441000.0,0.25127,0.2483,69,-5025866.0,-5.945295,reduction,6.7742452,Q4 2008,CONSUMER DISCRETIONARY,13F,09/30/2020,57.8,102.33
Citigroup  inc.,C,"",157735437.0,6799973000.0,0.250112,0.3304,70,-4265194.0,-2.632826,reduction,7.5761497,Q3 2007,FINANCE,13F,09/30/2020,78.52,64.23
S&p global inc. (mcgraw-hill inc.),SPGI,"",18761589.0,6765430000.0,0.248842,0.2449,71,136790.0,0.734451,addition,7.7978722,Q4 2008,COMMUNICATIONS,13F,09/30/2020,154.2059,305.95
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",40887519.0,6730494000.0,0.247557,0.2439,72,-1367999.0,-3.237445,reduction,5.8270412,Q3 2007,INDUSTRIALS,13F,09/30/2020,122.33,205.97
Lockheed martin corp.,LMT,"",17216150.0,6598608000.0,0.242706,0.2474,73,230570.0,1.357446,addition,6.1533775,Q3 2007,INDUSTRIALS,13F,09/30/2020,271.8427,347.27
Advanced micro devices inc,AMD,"",80339991.0,6587077000.0,0.242282,0.171,74,-1079421.0,-1.325754,reduction,6.6723451,Q4 2008,INFORMATION TECHNOLOGY,13F,09/30/2020,18.76,88.21
Zoetis  inc.,ZTS,"",39429316.0,6520426000.0,0.23983,0.2197,75,-730632.0,-1.819305,reduction,8.2962310,Q1 2013,HEALTH CARE,13F,09/30/2020,66.87,161.56
Charter communications inc,CHTR,"",10322151.0,6444530000.0,0.237039,0.219,76,-433222.0,-4.027959,reduction,5.0376733,Q3 2010,COMMUNICATIONS,13F,09/30/2020,322.62,628.91
Intuitive surgical inc,ISRG,"",8971484.0,6365627000.0,0.234136,0.2124,77,-367755.0,-3.937741,reduction,7.6317018,Q1 2009,HEALTH CARE,13F,09/30/2020,169.18,778.42
Fidelity national information services inc,FIS,"",42328941.0,6231242000.0,0.229194,0.2281,78,-282351.0,-0.66262,reduction,6.8216501,Q4 2008,FINANCE,13F,09/30/2020,103.8,129.73
3m co. (minnesota mining & manufacturing),MMM,"",38855440.0,6223864000.0,0.228922,0.2336,79,1336336.0,3.561748,addition,6.7361245,Q3 2007,INDUSTRIALS,13F,09/30/2020,188.1826,165.55
Newmont mining corp. (holding co.),NEM,"",97366087.0,6177879000.0,0.227231,0.2375,80,1007401.0,1.04547,addition,12.1508828,Q3 2007,MATERIALS,13F,09/30/2020,35.4824,61.86
Anthem inc,ANTM,"",22876356.0,6144362000.0,0.225998,0.2388,81,127999.0,0.562674,addition,9.1982145,Q3 2007,HEALTH CARE,13F,09/30/2020,173.2664,326.42
Cvs health corp. (melville shoe),CVS,"",100284278.0,5856601000.0,0.215414,0.252,82,3127908.0,3.219457,addition,7.6616429,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,73.2228,76.26
Raytheon technologies corp. (united technologies),RTX,"",98930332.0,5692452000.0,0.209376,0.243,83,120049.0,0.121494,addition,6.5140753,Q3 2007,INDUSTRIALS,13F,09/30/2020,52.3962,69.2
Tjx companies inc.,TJX,"",102102434.0,5681999000.0,0.208992,0.203,84,1530593.0,1.52189,addition,8.5040631,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2020,36.8068,68.46
Altria group  inc. (philip morris),MO,"",143428615.0,5542083000.0,0.203845,0.2259,85,-743525.0,-0.51572,reduction,7.7177753,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,67.25,41.2
Regeneron pharmaceuticals inc.,REGN,"",9792052.0,5481395000.0,0.201613,0.2437,86,2479.0,0.025323,addition,9.3384557,Q4 2009,HEALTH CARE,13F,09/30/2020,465.5039,517.93
Target corp.,TGT,"",34672443.0,5458135000.0,0.200758,0.1699,87,-826436.0,-2.328062,reduction,6.9237825,Q4 2008,CONSUMER DISCRETIONARY,13F,09/30/2020,57.7,194.8
Blackrock inc. class a,BLK,"",9667201.0,5447952000.0,0.200383,0.2169,88,-319234.0,-3.196676,reduction,6.3387032,Q2 2009,FINANCE,13F,09/30/2020,423.86,727.76
Mondelez international inc. (kraft foods),MDLZ,"",94122095.0,5407312000.0,0.198888,0.1968,89,-2328404.0,-2.414092,reduction,6.5812156,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,43.39,57.22
Stryker corp.,SYK,"",25859293.0,5388302000.0,0.198189,0.1869,90,-124974.0,-0.48096,reduction,6.8813028,Q3 2007,HEALTH CARE,13F,09/30/2020,139.03,241.99
Caterpillar inc.,CAT,"",35559834.0,5303749000.0,0.195079,0.1813,91,-347915.0,-0.968913,reduction,6.5456589,Q3 2007,INDUSTRIALS,13F,09/30/2020,98.27,194.62
Equinix inc,EQIX,"",6723591.0,5110803000.0,0.187982,0.1845,92,140406.0,2.132797,addition,7.5459721,Q2 2009,INFORMATION TECHNOLOGY,13F,09/30/2020,424.2536,707.76
Crown castle international corp,CCI,"",30072262.0,5007030000.0,0.184165,0.2023,93,-217712.0,-0.718759,reduction,6.9725046,Q1 2009,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,100.67,157.25
Boeing company,BA,"",30243923.0,4998108000.0,0.183837,0.2393,94,-2459539.0,-7.52073,reduction,5.3573663,Q3 2007,INDUSTRIALS,13F,09/30/2020,188.41,204.32
Becton  dickinson and co.,BDX,"",21378911.0,4974444000.0,0.182967,0.1983,95,618563.0,2.979541,addition,7.3504532,Q4 2019,HEALTH CARE,13F,09/30/2020,268.1434,261.74
Boston scientific inc.,BSX,"",128853990.0,4923513000.0,0.181093,0.174,96,4704621.0,3.789484,addition,9.0984351,Q4 2019,HEALTH CARE,13F,09/30/2020,43.0949,36.33
Humana  inc.,HUM,"",11841212.0,4900962000.0,0.180264,0.177,97,403026.0,3.523513,addition,8.9474703,Q3 2007,HEALTH CARE,13F,09/30/2020,227.3333,406.81
Booking holdings inc. (priceline),BKNG,"",2793109.0,4778117000.0,0.175746,0.182,98,-70216.0,-2.452254,reduction,6.8199609,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2020,1744.66,2119.23
Edwards lifesciences corp.,EW,"",59037509.0,4712374000.0,0.173327,0.164,99,-406466.0,-0.68378,reduction,9.4725508,Q2 2009,HEALTH CARE,13F,09/30/2020,51.48,87.87
Cigna holding co,CI,"",27601591.0,4675987000.0,0.171989,0.2032,100,466264.0,1.718291,addition,7.6402134,Q3 2007,FINANCE,13F,09/30/2020,162.2235,218.9
Dominion energy inc,D,"",58905458.0,4649408000.0,0.171012,0.1927,101,-575834.0,-0.968093,reduction,7.2204069,Q4 2008,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,76.81,72.08
Applied materials inc.,AMAT,"",78143901.0,4645656000.0,0.170874,0.174,102,6028231.0,8.359114,addition,8.5464426,Q4 2008,INFORMATION TECHNOLOGY,13F,09/30/2020,43.7707,103.14
Colgate-palmolive co.,CL,"",60060209.0,4633644000.0,0.170432,0.1647,103,3752328.0,6.663948,addition,7.0068121,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,70.8405,81.88
Air products & chemicals inc,APD,"",15475928.0,4609662000.0,0.16955,0.1521,104,-302315.0,-1.916024,reduction,7.0011281,Q3 2007,MATERIALS,13F,09/30/2020,140.29,286.91
Marsh & mclennan companies  inc.,MMC,"",40058658.0,4594726000.0,0.169,0.1739,105,-523240.0,-1.289343,reduction,7.8981473,Q4 2007,FINANCE,13F,09/30/2020,74.81,111.84
T-mobile us inc,TMUS,"",40151287.0,4591703000.0,0.168889,0.1607,106,1484245.0,3.838527,addition,3.2349110,Q2 2013,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,83.4948,127.28
Duke energy corp.,DUK,"",51582613.0,4568155000.0,0.168023,0.1667,107,-695993.0,-1.331315,reduction,7.0089018,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,84.38,92.11
Morgan stanley,MS,"",92609463.0,4477670000.0,0.164695,0.1833,108,-2468763.0,-2.59656,reduction,5.1188123,Q3 2007,FINANCE,13F,09/30/2020,42.73,75.24
Activision blizzard inc,ATVI,"",54696365.0,4427670000.0,0.162856,0.164,109,563177.0,1.040354,addition,7.0771633,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,52.5158,90.69
Deere & co.,DE,"",19774107.0,4382536000.0,0.161196,0.12,110,646460.0,3.379715,addition,6.3103219,Q3 2007,INDUSTRIALS,13F,09/30/2020,118.1958,295.4
Automatic data processing inc,ADP,"",30953376.0,4317687000.0,0.15881,0.191,111,-1192959.0,-3.711026,reduction,7.2183688,Q4 2008,INFORMATION TECHNOLOGY,13F,09/30/2020,106.57,161.12
Cme group inc,CME,"",25765972.0,4310906000.0,0.158561,0.177,112,-1516965.0,-5.560124,reduction,7.1774017,Q3 2007,FINANCE,13F,09/30/2020,131.7,191.82
Ishares iboxx investment grade corporate bond fund,LQD,"",31423160.0,4233014000.0,0.155696,0.0742,113,17604847.0,127.402289,addition,No Data,Q4 2008,FINANCE,13F,09/30/2020,129.5342,136.14
Illinois tool works inc,ITW,"",21833530.0,4218457000.0,0.155161,0.1567,114,-613330.0,-2.732364,reduction,6.8979881,Q4 2008,INDUSTRIALS,13F,09/30/2020,134.49,203.19
Progressive corp.,PGR,"",44504907.0,4213279000.0,0.15497,0.1376,115,1466049.0,3.406338,addition,7.6037770,Q4 2007,FINANCE,13F,09/30/2020,45.9496,94.8
Goldman sachs group inc,GS,"",20948615.0,4210041000.0,0.154851,0.1539,116,1437089.0,7.365334,addition,6.0885139,Q3 2007,FINANCE,13F,09/30/2020,225.5031,301.01
Zoom video communications inc,ZM,"",8911963.0,4189600000.0,0.154099,0.0498,117,3995923.0,81.28337,addition,4.4847826,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,328.7512,384.53
Sherwin-williams co.,SHW,"",6009581.0,4187116000.0,0.154008,0.1372,118,61075.0,1.026728,addition,6.6166955,Q3 2007,MATERIALS,13F,09/30/2020,345.2786,725.55
Fedex corporation,FDX,"",16542182.0,4160689000.0,0.153036,0.0934,119,-148642.0,-0.890561,reduction,6.2406704,Q3 2007,TRANSPORTS,13F,09/30/2020,188.49,252.56
Autodesk  inc.,ADSK,"",17990080.0,4155890000.0,0.152859,0.1685,120,340367.0,1.928456,addition,8.1814220,Q4 2008,INFORMATION TECHNOLOGY,13F,09/30/2020,105.2257,308.51
Biogen inc,BIIB,"",14463279.0,4102944000.0,0.150912,0.1559,121,-136177.0,-0.932754,reduction,9.3989660,Q3 2007,HEALTH CARE,13F,09/30/2020,271.98,275.84
Fiserv inc.,FISV,"",39173739.0,4036855000.0,0.148481,0.1575,122,-1247366.0,-3.085928,reduction,5.8588908,Q4 2008,INFORMATION TECHNOLOGY,13F,09/30/2020,65.96,108.2
Ecolab inc.,ECL,"",20078759.0,4012541000.0,0.147587,0.1538,123,712842.0,3.68091,addition,7.0341909,Q4 2008,MATERIALS,13F,09/30/2020,138.8934,210.77
Southern co.,SO,"",73921356.0,4008015000.0,0.14742,0.1548,124,-868031.0,-1.160634,reduction,6.9985246,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,50.77,59.66
Relx plc adr,RELX,"",194947760.0,3846319304.8,0.141473,0.002,125,192541899.0,8003.035046,addition,10.0893586,,COMMUNICATIONS,13G,10/31/2020,,24.78
Csx corp,CSX,"",49319439.0,3830641000.0,0.140896,0.1412,126,-1410074.0,-2.779593,reduction,6.4488826,Q3 2007,TRANSPORTS,13F,09/30/2020,49.24,93.42
Micron technology  inc.,MU,"",81538240.0,3829035000.0,0.140837,0.1685,127,-383409.0,-0.468019,reduction,7.3003496,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,33.57,80.72
Dollar general corp.,DG,"",18098585.0,3793825000.0,0.139542,0.1454,128,-1028617.0,-5.37777,reduction,7.3871503,Q4 2009,CONSUMER DISCRETIONARY,13F,09/30/2020,83.5,211.44
Public storage  inc.,PSA,"",16965475.0,3778551000.0,0.13898,0.1287,129,165877.0,0.987387,addition,9.7044200,Q4 2008,REAL ESTATE,13F,09/30/2020,216.1845,224.39
Intercontinental exchange inc,ICE,"",37734978.0,3775384000.0,0.138864,0.1411,130,-844551.0,-2.189117,reduction,6.7229768,Q4 2008,FINANCE,13F,09/30/2020,64.29,115.19
Lam research corp.,LRCX,"",11334893.0,3760350000.0,0.138311,0.1473,131,-71680.0,-0.62841,reduction,7.8709495,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,144.47,547.53
Chubb limited,CB,"",32190570.0,3737970000.0,0.137488,0.1632,132,-105348.0,-0.326196,reduction,7.1317396,Q3 2007,FINANCE,13F,09/30/2020,135.82,155.19
Aon plc,AON,"",18000866.0,3713579000.0,0.13659,0.137,133,182820.0,1.026038,addition,7.8738315,Q3 2007,FINANCE,13F,09/30/2020,126.7166,207.93
Digital realty trust  inc.,DLR,"",25187503.0,3696520000.0,0.135963,0.135,134,1385679.0,5.821735,addition,8.9902331,Q1 2009,REAL ESTATE,13F,09/30/2020,116.9174,136.48
Cognizant technology solutions corp,CTSH,"",52875558.0,3670619000.0,0.13501,0.1235,135,-1591338.0,-2.921661,reduction,9.8899176,Q4 2008,INFORMATION TECHNOLOGY,13F,09/30/2020,62.85,80.24
Illumina inc,ILMN,"",11752015.0,3632313000.0,0.133601,0.1726,136,78267.0,0.670453,addition,8.0493253,Q4 2009,HEALTH CARE,13F,09/30/2020,202.9813,376.35
Analog devices inc,ADI,"",30760256.0,3590951000.0,0.13208,0.1362,137,2946683.0,10.594407,addition,8.3251727,Q4 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,86.0875,157.75
Baxter international inc.,BAX,"",44599949.0,3586729000.0,0.131925,0.1532,138,30773.0,0.069045,addition,8.7310773,Q3 2007,HEALTH CARE,13F,09/30/2020,57.4059,80.04
